ID,Title,Year,Conference,Did the paper successfully participate in an artifact evaluation process?,Requirements per platform [Intel],Requirements per platform [AMD],Requirements per platform [ARM],Requirements per platform [Apple],Requirements per platform [NVIDIA],Other requirement?,Environment,"""""Novelty""""",Do they mention their attack potency?,Number of platform evaluated,What benchmark do they provide?,How is it assessed?,Error rate,Comparison to other works,How does it compare to other work?,Is there any obvious threat to the comparison reliability?,Number of configuration evaluated,Is there a protocol (agreement/transmission)? ,"If so, what is it?",Is there an error correction/management described?,"If so, what is used?",Is the code available?,"Is there a minimal documentation (compilation, installation, usage)?",Is there another covert channel evaluation ?,How is it assessed?_duplicated_0,Error rate_duplicated_0,Comparison to other works_duplicated_0,How does it compare to other work?_duplicated_0,Is there any obvious threat to the comparison reliability?_duplicated_0,Number of configuration evaluated_duplicated_0,Is there a protocol (agreement/transmission)? _duplicated_0,"If so, what is it?_duplicated_0",Is there an error correction/management described?_duplicated_0,"If so, what is used?_duplicated_0",Is the code available?_duplicated_0,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_0",Is there another covert channel evaluation ?_duplicated_0,How is it assessed?_duplicated_1,Error rate_duplicated_1,Comparison to other works_duplicated_1,How does it compare to other work?_duplicated_1,Is there any obvious threat to the comparison reliability?_duplicated_1,Number of configuration evaluated_duplicated_1,Is there a protocol (agreement/transmission)? _duplicated_1,"If so, what is it?_duplicated_1",Is there an error correction/management described?_duplicated_1,"If so, what is used?_duplicated_1",Is the code available?_duplicated_1,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_1",What are they attacking?,Is the target version specified?,Are there details on the attack?,How many samples are needed?,Number of platform evaluated_duplicated_0,Comparison to other works_duplicated_2,How does it compare to other work?_duplicated_2,Is the code available?_duplicated_2,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_2",Is there another side channel evaluation ?,What are they attacking?_duplicated_0,Is the target version specified?_duplicated_0,Are there details on the attack?_duplicated_0,How many samples are needed?_duplicated_0,Number of platform evaluated_duplicated_1,Comparison to other works_duplicated_3,How does it compare to other work?_duplicated_3,Is the code available?_duplicated_3,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_3",Is there another side channel evaluation ?_duplicated_0,What are they attacking?_duplicated_1,Is the target version specified?_duplicated_1,Are there details on the attack?_duplicated_1,How many samples are needed?_duplicated_1,Number of platform evaluated_duplicated_2,Comparison to other works_duplicated_4,How does it compare to other work?_duplicated_4,Is the code available?_duplicated_4,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_4",Is there another side channel evaluation ?_duplicated_1,What are they attacking?_duplicated_2,Is the target version specified?_duplicated_2,Are there details on the attack?_duplicated_2,How many samples are needed?_duplicated_2,Number of platform evaluated_duplicated_3,Comparison to other works_duplicated_5,How does it compare to other work?_duplicated_5,Is the code available?_duplicated_5,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_5",Is there another side channel evaluation ?_duplicated_2,What are they attacking?_duplicated_3,Is the target version specified?_duplicated_3,Are there details on the attack?_duplicated_3,How many samples are needed?_duplicated_3,Number of platform evaluated_duplicated_4,Comparison to other works_duplicated_6,How does it compare to other work?_duplicated_6,Is the code available?_duplicated_6,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_6"
purnalPrimeScopeOvercoming2021,Prime+Scope: Overcoming the Observer Effect for High-Precision Cache Contention Attacks,2021,CCS,No evaluation for this conference this year,Same CPU,,,,,,Local,Improved a building block,Temporal resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Capacity (bandwith considering the error rate),2.5,4,Compare to the numbers in previous papers,Compare to previous paper on different conditions,10,Yes,"The time between two synchronization ticks is divided in 2^m slots which can be as short as 80 cycles. First the receiver primes the set. The transmitter send an m-bit symbol M by accessing a line mapping to the same in the time slot i = M. The receiver concurrently access its congruent line every time slot, recording the time slot where it was evicted. The m-bit symbols are encoded in reflected binary.",No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1e,Authors use the attack's temporal resolution to time the accesses to each AES tables during the first round of encryption.,~150,1,2,Authors re-evaluated the attack to compare on the same conditions,No,No,Yes,Toy example / Microbenchmark,,"Experiment repeated for 1000 runs of 10 000 events for each window size and each technique, and the global accuracy, maximal resolution and maximal resolution that delivers an accuracy of 95% are recorded.",,2,3,Authors re-evaluated the attack to compare on the same conditions,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wangDVFSFrequentlyLeaks2023,"DVFS Frequently Leaks Secrets: Hertzbleed Attacks Beyond SIKE, Cryptography, and CPU-Only Data",2023,S&P,No evaluation for this conference this year,Same CPU;Other,Same CPU;Other,,,,GPU_Same GPU,Remote;Browser-based,Improved a building block,Spatial resolution,9,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breaking constant-time cryptography,BearSSL for ECDSA,"4 experiments => 1,000,000 data points per experiment
Their implementation would take over 200 days to collect enough messages with 8 leading 0 bits to recover the key.",4 000 000 data points.,3,0,,No,No,Yes,Breaking constant-time cryptography,The optimized reference implementation for Classic McEliece,"4 experiments => 2 000 000 data point per experiment.
They demonstrate a full plaintext recovery with this attack via 17.5 days of interaction with the server across a LAN (recovered 62 error positions in a plaintext and got the remaining missing two by brute-force search).",8 000 000,3,0,,No,No,Yes,Pixel stealing,Latest Google Chrome version (107 64-bit) installed.,"They collect 200, 000 iGPU power consumption and CPU frequency data points during each experiment. They run 3 experiments.

They propose also a Proof of Concept result (PoC) on 7 machines.",600 000 iGPU power consumption and CPU frequency data points,8,0,,No,No,No,,,,,,,,,,,,,,,,,,,
gastSQUIPExploitingScheduler2023,SQUIP: Exploiting the Scheduler Queue Contention Side Channel,2023,S&P,No evaluation for this conference this year,,Same core;Instruction set extension,,,,,Local;VM;SEV,New primitive,Spatial resolution,4,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,0.62,10,Compare to the numbers in previous papers,Compare to previous paper on different conditions,6,Yes,"Zeroes are encoded as multiple series of 15 nops, leading to low pressure on the ALU1 scheduler, while ones are multiple series of 15 dependent imuls, leading to high pressure. The exact number of series is dependent on how fast nops and imuls are executed, thus dependent on the micro-architecture.
The receiver measures the time needed to perform 16 (Zen 2) or 18 (Zen 3) dependent multiplications.
Receiver and sender are not synchronized. A preamble packet is sent allowing the receiver to evaluate the length in samples of a single bit. A trailer packet marks the end of the message.",No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,MbedTLS v3.0.0,"Attack performed on a sliding window Montgomery modular exponentiation algorithm, where a square operation followed by a multiply induces more contention on the ALU1 scheduler. Authors performed the attack both a cross-process and a cross-VM setup where attacker and victim are co-located on the same physical core.
10 contention profiles are collected with 5050 traces each, the best one is selected for key extraction.",50500,2,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naghibijouybari2018RenderedInsecureGPU,Rendered Insecure: GPU Side Channel Attacks are Practical,2018,CCS,No evaluation for this conference this year,,,,,Same core;Other,"GPU_For an attack, it requires multi-kernel execution, meaning multiple kernel can run in parallel. Same GPU.",Local,New primitive,Temporal resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed,,0,,,1,No,,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerprinting,Chrome v63.0.3239.84,"They probe the GPU memory allocation while visiting the top 200 websites from Alexa. the use a random forest classifier with 100 estimators on the traces.
They achieve 90% accuracy at best, but also evaluated different settings.",10 traces,1,7,Compare to the numbers in previous papers,No,No,Yes,(Inter)keystroke recovery,Chrome v63.0.3239.84,"The monitor GPU memory allocations to learn when text box are re-rendered.
They measured their error rate using 250 key press/timing samples, and got an average error of 0.1% with 3.1% stdev",On the fly (1 sample),1,0,,No,No,Yes,Deep Learning parameters,,"They target CUDA-implemented back-propagation algorithm from the Rodinia application benchmark, and recover the input layer size by probing HPC.
Theyy classify traces using KNN3 and got 88.6% precision and 86.6% f-measure.",100 traces,1,0,,No,No,Yes,Fingerprinting,Chrome v63.0.3239.84,"The probe HPC related to GPU activity (cache accesses and RAM allocation) to fingerprint websites from the top 200 Alexa ranking.
They classify samples with a random forest classifier and achieve 93% precision (92.7% f-measure).  ",10 samples,1,0,,No,No,No,,,,,,,,,
zhaoBinocularsContentionBased2022,Binoculars: Contention-Based Side-Channel Attacks Exploiting the Page Walker,2022,USENIX Security Symposium,"Evaluation was available, but the paper didn't do/get it",Same core,,,,,,Local;VM,New primitive,Spatial resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Error rate;Multiple plateforms;Capacity (bandwith considering the error rate),0.6,6,Compare to the numbers in previous papers,Compare to previous paper on different conditions,3,Yes,"Sender and receiver are assumed to have agreed on a specific offset. No details are given regarding how synchronization is achieved. To send a 1, sender writes repeatedly to that offset, and does nothing to send a 0. The receiver meanwhile issues a TLB-missing read to a target page where the page walk induces reads 4K-aliased with the sender's writes. If the receiver measures a high latency on this read, the sender is sending 1, 0 otherwise.",No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,OpenSSL v1.0.2e,"The authors use their attack to identify when a specific store S in the Montgomery ladder algorithm is executed, which reveals the bit value of the nonce k. In an offline phase, the attacker first records page offsets of stores executed during the Montgomery ladder, and identify those corresponding to S. They also build a random forest classifier to predict boundaries between each loop iteration and the values of k. The attacker then repeatedly times 4 dependent TLB-missing load whose page walks produce reads aliased with S, and uses this as input for the classifier. For bits where the classifier outputs a low-confidence prediction, brute-forcing is used.","130 traces for training, a single trace is enough to recover k in 77.9% of cases with reasonable brute-forcing",2,1,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,Yes,(K)ASLR break,Ubuntu 20.04 LTS with the kernel version 5.4.0-105-generic,"The authors attack a system call that accesses a global variable whose offset within the kernel is known: the SYS_time system call. By flushing the TLB, the syscall will issue a page walk which will conflict with 4K-aliased writes by the attacker, slowing down the syscall. The attacker, by repeating the operation for every possible offset and by timing the syscall, can retrieve the virtual page number of this memory access.",Up to100% accuracy with 1000 traces,3,0,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renSeeDeadUops2021,I See Dead µops: Leaking Secrets via Intel/AMD Micro-Op Caches,2021,ISCA,No evaluation for this conference this year,Same thread,Same core,,,,,Local,New primitive,Bypasses speculation barriers,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Capacity (bandwith considering the error rate);Transient execution,15.0,0,,,10,Yes,"Authors create two types of functions: one that evicts a given code region from the µop cache (so-called ""tiger"" function) and one that occupies a mutually exclusive subset of the µop cache (""zebra"" function). The sender executes a tiger function when sending a 1 and a zebra function when sending a 0, while the receiver times a tiger function repeatedly. High-latency execution indicates eviction from the µop cache and thus a 1 being sent. It's unclear how the two participants are synchronized.",Yes,Reed-Solomon code,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,,,,1,1,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaromFLUSHRELOADHigh2014,"FLUSH+RELOAD: a High Resolution, Low Noise, L3 Cache Side-Channel Attack",2014,USENIX Security Symposium,No evaluation for this conference this year,Same CPU;Shared memory,,,,,,Local;VM,New primitive,Spatial resolution;Temporal resolution,2,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13,"- To reduce the effect of speculative execution, they avoided memory lines near the beginning of the respective functions.
- They have manually inspected a few samples of capture output and estimate that manual inspection can reduce the number of errors by 25%-50%.
- A time slot is fixed to 2500 cycles.
- On average, the attack is able to recover 96.7% of the bits of the secret key by observing a single signature or decryption round.","15 690 time slots (18ms) with CRT components used for exponentiation that are 1,022 and 1,023 bits long",2,2,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disselkoenPrimeAbortTimerFree2017,Prime+Abort: A Timer-Free High-Precision L3 Cache Attack using Intel TSX,2017,USENIX Security Symposium,No evaluation for this conference this year,Same CPU,,,,,,Local,New primitive,Temporal resolution,1,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v??? 's T-table implementation of AES,"They re-did the Prime+Probe in the original setup, to compare it with Prime+Abort. 
In their experiments, they used a key whose first four bits were arbitrarily chosen to be 1110, and for each method they performed one million encryptions with each possible 4-bit plaintext prefix (a total of sixteen million encryptions for Prime+Abort and sixteen million for Prime+Probe).",32 000 000 encryptions,1,1,Authors re-evaluated the attack to compare on the same conditions,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daiDonMeshSideChannel2022,Don’t Mesh Around: Side-Channel Attacks and Mitigations on Mesh Interconnects,2022,USENIX Security Symposium,Yes,Same CPU,,,,,Need the shared LLC to be non-inclusive.,Local;VM,New primitive,Spatial resolution;Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Capacity (bandwith considering the error rate),12.5,0,,,2,Yes,There is a full section dedicated to the configuration and the protocol of the receiver (which detect contention on the mesh interconnect) and the transmitter (which generate contention on the interconnect). Section 5.,Unclear,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG libgcrypt v1.6.3,"Attack the scalar point multiplication (_gcry_mpi_ec_mul_point) used in ECDSA during signature generation. 
Generate 5000 random keys. Half of those traces have their first secret bit=0, and the rest have their first secret bit=1 for leaking a single bit.
Repeat the experiment 10 times.  
Obtain an accuracy of 69%–71% for ECDSA for a single bit.
Obtain an accuracy of 68% for ECDSA for a full key recovery.
For ECDSA, 140 traces per bit were enough to recover 100% of the key.",200 000 random keys as traces for both ECDSA (and RSA).,1,0,,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG libgcrypt v1.5.2,"Attack the modular exponentiation (_gcry_mpi_powm) used in RSA during decryption. 
Generate 5000 random keys. Half of those traces have their first secret bit=0, and the rest have their first secret bit=1 for leaking a single bit.
Repeat the experiment 10 times.  
Obtain an accuracy of 71%–73% for RSA for a single bit.
Obtain an accuracy of 77% for RSA for a full key recovery.
For RSA, 65 traces per bit were enough to recover 100% of the key.",200 000 random keys as traces for both RSA (and ECDSA).,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhangWAITItBridging2023,(M)WAIT for It: Bridging the Gap between Microarchitectural and Architectural Side Channels,2023,USENIX Security Symposium,Yes,Same CPU;Shared memory,Same CPU;Shared memory,Same CPU;Shared memory,,,,Local;VM,New primitive,Spatial resolution;Temporal resolution,7,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Transient execution,0.0,3,Authors re-evaluated the attack to compare on the same conditions,,1,Yes,"The sender and receiver use a cache line on the shared memory page for transmitting data without modifying the content of the cache line.
There is a shared memory between the sender and receiver, which can be read-only (e.g., a shared library) or writable. There is no requirement for the sender or receiver to synchronize the communication or agree on any common information before the transmission. 
The cover channel use the Manchester encoding.",Yes,The receiver oversampling each state (with a flag or not) to filter the noise (unrelated changes of the carry flag) in the post-processing phase.,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1e,"Rely on TLT and on template attacks proposed by Gruss et al. to profile and exploit cache-based information leakage automatically. Do not perform a full key-recovery attack.
On average, derived 64 bits of the secret key in around 38 s using the TLT-based attack.",300 encryptions,1,2,Compare to the numbers in previous papers;Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,Yes,Fingerprinting,Alexa top 100 websites,"Unprivileged attacker running an unprivileged application that can execute the umwait (Intel), monitorx (AMD), or wfi (ARM) instruction. The system does not expose interrupt or network statistics via any unprivileged interface. The attacker can also use a coarse-grained timer with millisecond resolution, e.g., clock_gettime or setitimer. Assume that the system has more CPU cores than network cards to monitor interrupts on all network cards.
Chose 10 ms as a bucket size.",Use the 100 most-visited websites as provided by the Alexa Top list. Repeat the measurement 100 times for every website to ensure that their training and test sets are large enough for their classifier.,3,4,Compare to the numbers in previous papers,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
