Title,"A1
No error rate","A2
No spatial resolution","A3
No temporal resolution","A4
No evaluation of noise resilience","A5
No evaluation against  mitigations the paper claims to bypass","A6
Evaluated on a single platform","A7
Evaluated on a single configuration","B1
Unfair comparisons","B2
No comparison","B3
Evaluation designed to highlight performances","B4
Benchmark only on highly controlled/simplified environments","C1
Missing target/target version","C2
Missing CPU model","C3
No code / material / documentation to reproduce","C4
No number of samples for side channel attacks","C5
Missing details on classifiation of side channel traces","C6
Missing protocols for covert channels","C7
Missing information on error rate computation / error correction","C8
Missing prerequisites (or if they change between attacks…)"
"Attack Directories, Not Caches: Side-Channel Attacks in a Non-Inclusive World",Flawed,Ok,Ok,Flawed,NA,Ok,Flawed,NA,Flawed,Flawed,Flawed,Ok,Ok,Flawed,Flawed,NA,"Underspec., Unclear, Incomplete",NA,Ok
Side-Channel Attacks on Optane Persistent Memory,Ok,Ok,Flawed,"Underspec., Incomplete",NA,Flawed,"Underspec., Incomplete",Flawed,Ok,Ok,Ok,Ok,Ok,Ok,Ok,NA,"Underspec., Incomplete",Flawed,Ok
Exploitation of Security Vulnerability on Retirement,Ok,Flawed,"Underspec., Unclear",Flawed,NA,Ok,"Underspec., Incomplete",Flawed,"Underspec., Incomplete",Flawed,Flawed,Flawed,Ok,Flawed,Ok,Ok,Ok,Ok,Ok
SQUIP: Exploiting the Scheduler Queue Contention Side Channel,Ok,Ok,Flawed,"Underspec., Incomplete",NA,Ok,Ok,Flawed,"Underspec., Incomplete",Ok,Ok,Ok,Ok,Flawed,Ok,NA,Ok,"Underspec., Incomplete",Ok
Binoculars: Contention-Based Side-Channel Attacks Exploiting the Page Walker,Ok,Ok,Flawed,Flawed,NA,Ok,Ok,Flawed,"Underspec., Incomplete",Ok,Ok,Ok,Ok,"Underspec., Incomplete",Ok,Ok,"Underspec., Incomplete",Ok,Ok
I See Dead µops: Leaking Secrets via Intel/AMD Micro-Op Caches,Ok,"Underspec., Incomplete",Flawed,Flawed,NA,Ok,Ok,Ok,"Underspec., Incomplete",Ok,Ok,Ok,Flawed,"Underspec., Incomplete",Flawed,NA,"Underspec., Incomplete",Ok,"Underspec., Unclear"
Prime+Scope: Overcoming the Observer Effect for High-Precision Cache Contention Attacks,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Flawed,Ok,Ok,Ok,Ok,Ok,"Underspec., Incomplete",Ok,NA,Ok,Ok,Ok
UC-Check: Characterizing Micro-operation Caches in x86 Processors and Implications in Security and Performance,Ok,Flawed,Flawed,Flawed,NA,Ok,Ok,NA,NA,Ok,Ok,Ok,Ok,Ok,"Underspec., Unclear",NA,NA,Ok,Flawed
IdleLeak: Exploiting Idle State Side Effects for Information Leakage,Ok,NA,Ok,Ok,NA,Ok,Ok,Flawed,"Underspec., Incomplete",Ok,Ok,Ok,Ok,Flawed,Ok,"Underspec., Incomplete",Ok,Ok,Ok
Augury: Using Data Memory-Dependent Prefetchers to Leak Data at Rest,Ok,Ok,Flawed,Ok,NA,Ok,Flawed,NA,Flawed,Ok,Ok,"Underspec., Incomplete",Ok,Ok,Flawed,NA,NA,Ok,Ok
"Unveiling Hardware-based Data Prefetcher, a Hidden Source of Information Leakage","Underspec., Incomplete",Flawed,Ok,"Underspec., Incomplete",NA,Flawed,Flawed,NA,Flawed,Flawed,Flawed,Ok,Ok,Flawed,Ok,NA,NA,"Underspec., Incomplete",Ok
All Your PC Are Belong to Us: Exploiting Non-control-Transfer Instruction BTB Updates for Dynamic PC Extraction,Ok,Ok,Flawed,Ok,Ok,Ok,Ok,NA,Flawed,Ok,Ok,Ok,Ok,Flawed,"Underspec., Unclear",NA,NA,Ok,Ok
